FEATURE_ID	c1_num_reps	counts_c1_g1_total_rep1	counts_c1_g2_total_rep1	counts_c1_both_total_rep1	counts_c1_g1_total_rep2	counts_c1_g2_total_rep2	counts_c1_both_total_rep2	counts_c1_g1_total_rep3	counts_c1_g2_total_rep3	counts_c1_both_total_rep3	prior_c1_g1	prior_c1_g2	c1_flag_analyze
fusion_id	3	130	145	76	105	183	105	145	143	96	0.8	0.8	1
fusion_id	3	127	131	75	192	135	86	145	159	96	0.8	0.8	1
fusion_id	3	154	146	57	219	143	72	173	161	71	0.8	0.8	1
fusion_id	3	151	144	100	189	159	78	143	115	95	0.8	0.8	1
fusion_id	3	221	166	80	168	187	71	131	168	61	0.8	0.8	1
